"Date","Discharge.m3s","Site","Sample"
2001-06-21,0.000138562669861411,"CCBP","CCBP_UP_3"
2001-06-22,0.000114443264180971,"CCBP","CCBP_UP_3"
2001-06-23,0.000109653328608711,"CCBP","CCBP_UP_3"
2001-06-24,0.000148375221607271,"CCBP","CCBP_UP_3"
2001-06-25,0.000265254124482541,"CCBP","CCBP_UP_3"
2001-06-26,0.000154723794658927,"CCBP","CCBP_UP_3"
2001-06-27,9.0843996095697e-05,"CCBP","CCBP_UP_3"
2001-06-28,5.57547358711304e-05,"CCBP","CCBP_UP_3"
2001-06-29,4.28673967332613e-05,"CCBP","CCBP_UP_3"
2001-06-30,3.79294220212384e-05,"CCBP","CCBP_UP_3"
2001-07-01,0.000113629771868251,"CCBP","CCBP_UP_3"
2001-07-02,0.000326498042656587,"CCBP","CCBP_UP_3"
2001-07-06,6.05961045973464e-05,"CCBP","CCBP_UP_3"
2001-07-07,5.03007745005399e-05,"CCBP","CCBP_UP_3"
2001-07-08,4.89306802330813e-05,"CCBP","CCBP_UP_3"
2001-07-09,4.56621777132829e-05,"CCBP","CCBP_UP_3"
2001-07-10,4.16698850341973e-05,"CCBP","CCBP_UP_3"
2001-07-11,3.86725836933045e-05,"CCBP","CCBP_UP_3"
2001-07-12,3.27871659017279e-05,"CCBP","CCBP_UP_3"
2001-07-13,2.84778848317135e-05,"CCBP","CCBP_UP_3"
2001-07-14,2.54295131389489e-05,"CCBP","CCBP_UP_3"
2001-07-15,2.35945025647948e-05,"CCBP","CCBP_UP_3"
2001-07-16,2.18123233891288e-05,"CCBP","CCBP_UP_3"
2001-07-17,1.9840581448221e-05,"CCBP","CCBP_UP_3"
2001-07-18,8.28924642278618e-06,"CCBP","CCBP_UP_3"
2001-07-19,7.4703597462203e-06,"CCBP","CCBP_UP_3"
2001-07-20,6.13724745770338e-06,"CCBP","CCBP_UP_3"
2001-07-21,5.27609566234701e-06,"CCBP","CCBP_UP_3"
2001-07-22,4.78300260979122e-06,"CCBP","CCBP_UP_3"
2001-07-23,3.23680368070554e-06,"CCBP","CCBP_UP_3"
2001-07-24,4.64471410708196e-06,"CCBP","CCBP_UP_3"
2001-07-25,9.10284995950324e-06,"CCBP","CCBP_UP_3"
2001-07-26,1.79450650197984e-05,"CCBP","CCBP_UP_3"
2001-07-27,1.58106765208783e-05,"CCBP","CCBP_UP_3"
2001-07-28,1.23044327078834e-05,"CCBP","CCBP_UP_3"
2001-07-29,1.14608913786897e-05,"CCBP","CCBP_UP_3"
2001-07-30,1.05099262059035e-05,"CCBP","CCBP_UP_3"
2001-07-31,9.42688253689705e-06,"CCBP","CCBP_UP_3"
2001-08-01,9.41455521058315e-06,"CCBP","CCBP_UP_3"
2001-08-02,8.38082084683226e-06,"CCBP","CCBP_UP_3"
2001-08-03,1.07731090023436e-05,"CCBP","CCBP_UP_3"
2001-08-04,3.97521052690785e-05,"CCBP","CCBP_UP_3"
2001-08-05,2.03383273713102e-05,"CCBP","CCBP_UP_3"
2001-08-06,1.98276238525918e-05,"CCBP","CCBP_UP_3"
2001-08-07,1.42574334053276e-05,"CCBP","CCBP_UP_3"
2001-08-08,1.01119296706263e-05,"CCBP","CCBP_UP_3"
2001-08-09,8.53983859669604e-06,"CCBP","CCBP_UP_3"
2001-08-10,9.14511507829373e-06,"CCBP","CCBP_UP_3"
2001-08-11,8.73479121670267e-06,"CCBP","CCBP_UP_3"
2001-08-12,2.25167420356371e-05,"CCBP","CCBP_UP_3"
2001-08-13,1.61840184035277e-05,"CCBP","CCBP_UP_3"
2001-08-14,1.4872038674406e-05,"CCBP","CCBP_UP_3"
