UNH ID,Sample,Date,Time,DiffTime.days,Cond.uScm,SpCond.uScm,Temp.C,DO.mgL,DO.pct,Volume.mL,Depth.cm,Stage.cm,Latitude,Longitude,DistFromMouth.m,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DIN.mgL,DON.mgL,Notes
189584,CCBP_OUT,8/12/2021,9:45,0,NA,367.7,23.4,1.61,18.7,113,NA,NA,42.771647,-70.919875,NA,2.5,98.2046,0.0049,0.4164,0.0579,NA,NA,0.0074,NA,
189585,CCBP_OUT_MID,8/12/2021,10:05,0,NA,394.5,22.9,1.02,11.8,8,NA,NA,42.771553,-70.919769,NA,2.5,102.506,0.002,0.4056,0.0553,NA,NA,0.0045,NA,
189586,CCBP_OUT_RIGHT,8/12/2021,10:20,0,NA,392.9,22.1,1.2,13.3,70,NA,NA,42.771581,-70.919628,NA,2.5,98.4302,0.002,0.3695,0.0598,NA,NA,0.0045,NA,
189587,CCBP_SIDE_OUT,8/12/2021,10:35,0,NA,379.2,22.2,0.62,7.1,98,NA,NA,42.771698,-70.919401,NA,5.455288424,NA,NA,NA,NA,NA,NA,NA,NA,
189588,CCBP_SIDE,8/12/2021,10:55,0,NA,386.8,25.1,2.34,27.5,240,NA,NA,42.77203,-70.919187,NA,2.5,98.9297,0.0049,0.3563,0.0458,NA,NA,0.0074,NA,
189589,CCBP_LODGE,8/12/2021,11:20,0,NA,414.7,25.1,3.24,39.1,170,NA,NA,42.7723354,-70.9199124,NA,14.88942792,87.2762,0.002,0.4217,0.0539,NA,NA,0.016889428,NA,
189590,CCBP_UPPER,8/12/2021,11:35,0,NA,354.6,24,2.41,29.8,230,NA,NA,42.7722741,-70.9203261,NA,9.739115626,84.4124,0.002,0.4271,0.051,NA,NA,0.011739116,NA,
189591,CCBP_UP_1,8/12/2021,11:55,0,NA,294,26.6,4.21,52.5,NA,NA,NA,42.77254,-70.922688,NA,10.19967346,66.6725,0.002,0.4833,0.0598,NA,NA,0.012199673,NA,
189592,CCBP_UP_2,8/12/2021,12:10,0,NA,381.2,24.1,1.64,19.2,NA,NA,NA,42.772893,-70.921659,NA,151.0537988,169.5116,0.002,0.3302,0.0624,NA,NA,0.153053799,NA,
189593,CCBP_UP_3,8/12/2021,12:25,0,NA,376.2,24.7,1.95,23.4,NA,NA,NA,42.772977,-70.920677,NA,117.8869652,93.1566,0.002,0.3594,0.0593,NA,NA,0.119886965,NA,
189594,CC,8/12/2021,12:55,0,NA,337.6,23.9,5.31,62.9,260,NA,49,42.7692,-70.9165,NA,31.87977029,79.3674,0.0452,0.5747,0.0549,NA,NA,0.07707977,NA,
189595,CC_UPPER,8/12/2021,13:05,0,NA,341.4,24.4,5.6,67.1,0,NA,NA,42.769669,-70.9171,NA,31.45702055,80.4245,0.0497,0.5653,0.0558,NA,NA,0.081157021,NA,
189596,CCBP_SIDE,8/20/2021,9:45,8,181.2,188.7,23.1,1.97,22.9,1260,NA,NA,42.77203,-70.919187,NA,8.075623123,75.44,0.0047,0.5003,0.0516,NA,NA,0.012775623,NA,
189597,CCBP_SIDE_OUT,8/20/2021,10:10,8,294.1,304.1,23,1.82,21.2,420,NA,NA,42.771698,-70.919401,NA,2.5,73.8628,0.002,0.4633,0.0504,NA,NA,0.0045,NA,
